"R0000100","R0532200","R0536300","R0536402","R0552200","R0690800","R0691200","R1482600","S1249300","T1067500","T3162503","T9110400","U3572700","U4370902","U4370904","U4370905","Z9073400","Z9149100"
1435,0,1,1982,1,-4,-4,4,0,0,2,0,3,0,0,0,1,3
1436,0,2,1984,1,0,-4,4,0,0,5,0,2,0,1,0,1,3
1437,1,2,1980,1,-4,-4,4,-5,-5,-5,0,3,0,2,0,1,3
1438,1,2,1982,3,-4,-4,4,0,0,4,0,8,0,0,0,-4,0
1439,0,1,1983,2,-4,0,4,0,0,3,-5,-5,-5,-5,-5,1,3
1440,1,2,1981,2,-4,-4,4,0,0,2,0,5,0,0,0,-4,1
1441,1,1,1980,1,-4,-4,4,0,0,3,0,5,2,3,2,-4,1
1442,1,2,1981,1,-4,-4,4,0,0,5,0,5,0,3,0,-4,0
1443,1,1,1983,1,-4,0,4,0,0,1,0,3,0,1,0,-4,0
1444,1,2,1981,12,-4,-4,4,0,0,5,1,-5,-5,-5,-5,-4,1
1445,1,2,1982,1,-4,-4,4,0,0,3,0,4,1,1,1,-4,1
1446,1,1,1984,1,-4,0,4,0,0,2,0,6,0,0,0,-4,1
1447,1,1,1983,1,-4,0,4,0,0,3,0,3,0,2,0,-4,0
1448,0,2,1982,1,-4,-4,4,0,0,-5,-5,-5,-5,-5,-5,-4,1
1449,1,1,1980,1,-4,-4,4,-5,0,5,0,3,0,0,0,-4,1
1450,1,2,1981,15,-4,-4,4,0,0,3,0,6,0,0,0,-4,1
1451,1,2,1981,-4,-4,-4,4,0,0,4,-5,6,0,1,0,-4,0
1452,1,1,1983,1,-4,0,2,0,0,1,0,6,0,2,0,-4,1
1453,1,2,1981,15,-4,-4,4,0,0,5,0,6,0,2,0,1,3
1454,1,2,1981,16,-4,-4,4,0,0,7,0,6,1,1,1,-4,0
1455,1,1,1983,16,-4,-4,4,0,0,4,0,6,0,0,0,-4,1
1456,1,1,1980,35,-4,-4,4,0,0,4,0,5,1,0,0,-4,1
1457,1,1,1983,15,-4,0,4,0,0,5,0,5,2,2,2,-4,0
1458,1,1,1981,1,-4,-4,4,-5,0,3,-5,-5,-5,-5,-5,-4,0
1459,1,2,1984,1,0,-4,4,0,0,3,-5,-5,-5,-5,-5,-4,0
1460,1,1,1984,5,-4,0,4,0,0,2,0,5,0,1,1,-4,1
1461,1,1,1981,-4,-4,-4,4,0,0,5,0,4,2,2,2,-4,0
1462,1,2,1984,-4,-4,-4,4,0,0,5,0,6,0,1,0,-4,1
1463,0,1,1980,-4,-4,-4,4,0,0,6,0,5,0,0,0,-4,0
1464,1,2,1984,2,0,-4,4,0,-5,-5,0,5,0,0,0,-4,1
1465,0,1,1984,1,-4,1,1,0,0,3,-5,2,0,1,0,-4,0
1466,1,2,1982,1,-4,-4,1,0,0,6,0,-5,-5,-5,-5,-4,0
1467,0,2,1980,1,-4,-4,1,-5,-5,-5,0,3,0,0,0,1,1
1468,0,1,1981,1,-4,-4,1,0,0,4,0,3,0,2,1,-4,0
1469,0,1,1984,1,-4,-4,1,0,0,5,0,3,0,1,0,-4,0
1470,1,2,1982,1,-4,-4,1,0,0,7,0,3,0,3,1,-4,0
1471,1,1,1984,1,-4,0,1,0,0,4,0,-5,-5,-5,-5,-4,0
1472,0,2,1983,11,0,-4,1,0,0,7,0,1,0,1,0,-4,0
1473,0,1,1983,2,-4,0,1,0,0,2,0,5,0,0,0,-4,0
1474,1,1,1980,1,-4,-4,2,0,-5,-5,0,-5,-5,-5,-5,1,3
1475,1,2,1983,1,0,-4,2,0,0,5,0,5,0,2,0,1,1
1476,1,2,1981,13,0,-4,1,0,0,4,0,3,0,0,0,1,3
1477,1,2,1983,13,1,-4,1,0,0,4,0,3,0,1,0,1,3
1478,0,1,1983,5,-4,0,1,0,0,3,0,3,0,0,0,-4,1
1479,0,2,1980,11,-4,-4,1,0,-5,-5,-5,-5,-5,-5,-5,-4,0
1480,0,2,1983,11,1,-4,1,0,-5,-5,-5,3,0,0,0,-4,1
1481,0,1,1984,2,-4,1,1,0,0,-5,0,3,1,3,1,-4,0
1482,0,1,1981,2,-4,-4,1,0,0,5,0,3,0,0,0,-4,0
1483,0,1,1984,1,-4,0,2,-2,0,3,0,4,0,0,0,-4,0
1484,1,1,1980,2,-4,-4,4,0,0,1,0,5,0,1,0,-4,0
1485,1,1,1983,2,-4,0,4,0,0,5,0,4,0,2,0,-4,0
1486,1,1,1984,5,-4,0,4,0,0,3,0,-5,-5,-5,-5,-4,0
1487,1,2,1981,1,-4,-4,4,0,-5,1,0,5,0,1,0,-4,1
1488,1,1,1980,25,-4,-4,4,0,0,6,0,3,0,1,0,-4,1
1489,1,2,1982,25,-4,-4,4,0,0,5,0,4,0,0,0,-4,1
1490,1,2,1983,3,0,-4,4,-5,-5,-5,-5,8,0,0,0,-4,1
1491,1,1,1982,2,-4,-4,4,0,0,3,0,5,0,1,0,-4,1
1492,1,2,1982,1,-4,-4,4,0,0,1,-5,-5,-5,-5,-5,-4,0
1493,1,1,1983,1,-4,1,4,0,0,3,0,5,0,1,1,-4,0
1494,0,2,1980,2,-4,-4,4,0,0,5,0,3,0,1,0,-4,0
1495,1,2,1980,3,-4,-4,4,0,0,4,0,5,0,0,0,1,3
1496,1,2,1981,3,-4,-4,4,0,0,1,0,4,0,1,0,-4,1
1497,1,2,1982,-4,-4,-4,4,0,0,2,0,6,0,2,1,-4,1
1498,1,2,1984,8,1,-4,4,0,0,1,0,5,0,0,1,-4,1
1499,1,2,1980,2,-4,-4,4,0,0,7,0,6,2,2,2,-4,0
1500,1,2,1982,11,-4,-4,1,0,0,1,0,6,0,0,0,-4,1
1501,1,2,1980,-4,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
1502,1,2,1984,2,0,-4,1,0,0,2,1,3,0,0,0,-4,2
1503,0,1,1980,1,-4,-4,4,0,0,1,0,5,0,2,0,-4,1
1504,0,2,1983,1,0,-4,4,0,0,6,0,5,1,1,0,-4,0
1505,0,1,1984,-4,-4,-4,2,0,1,1,0,-5,-5,-5,-5,-4,1
1506,1,2,1984,1,0,-4,2,0,-5,6,-5,-5,-5,-5,-5,-4,1
1507,1,1,1983,1,-4,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1508,0,1,1984,2,-4,1,3,0,0,1,0,3,0,1,0,-4,0
1509,1,2,1982,-4,-4,-4,2,0,0,3,0,3,0,0,0,-4,1
1510,0,1,1980,1,-4,-4,4,0,-2,4,-5,3,0,3,0,1,3
1511,0,2,1982,1,-4,-4,4,0,0,3,1,3,2,2,2,-4,0
1512,0,2,1984,1,1,-4,4,0,0,6,0,-5,-5,-5,-5,-4,0
1513,0,2,1984,1,1,-4,4,0,0,5,1,3,2,1,0,1,3
1514,1,1,1982,-4,-4,-4,1,1,-5,-5,-5,3,0,1,1,-4,0
1515,1,1,1980,6,-4,-4,3,0,0,1,0,5,0,1,0,-4,1
1516,1,2,1980,1,-4,-4,2,0,0,1,-5,-5,-5,-5,-5,-4,1
1517,1,2,1983,-4,-4,-4,2,0,0,6,0,4,1,3,3,-4,1
1518,1,1,1984,1,-4,2,4,1,0,-5,0,5,1,1,1,-4,1
1519,0,1,1984,-4,-4,-4,3,0,0,3,0,5,0,1,0,-4,0
1520,1,1,1984,9,-4,0,4,0,0,5,0,3,0,1,1,-4,1
1521,0,2,1981,-4,-4,-4,4,0,0,2,0,-5,-5,-5,-5,-4,2
1522,1,1,1982,5,-4,-4,3,0,0,2,0,5,3,3,0,-4,1
1523,1,2,1984,2,0,-4,1,-5,-5,5,-5,-5,-5,-5,-5,-4,1
1524,0,2,1981,27,1,-4,1,0,0,1,0,3,0,3,2,1,3
1525,0,1,1980,2,-4,-4,1,1,0,2,0,5,0,2,0,-4,1
1526,1,2,1982,13,-4,-4,4,-5,-5,-5,0,3,0,3,0,-4,1
1527,0,2,1984,2,0,-4,1,0,0,5,0,3,0,0,0,-4,0
1528,0,2,1981,27,-4,-4,1,-5,0,-5,0,-5,-5,-5,-5,1,3
1529,0,1,1984,27,-4,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1530,1,1,1980,1,-4,-4,4,0,0,7,0,5,3,3,3,-4,1
1531,1,2,1983,1,0,-4,4,0,0,2,0,5,0,0,0,-4,0
1532,0,1,1982,6,-4,-4,4,0,0,5,0,5,0,0,0,-4,0
1533,1,2,1982,5,-4,-4,4,0,0,1,-5,5,2,1,3,-4,1
1534,0,2,1980,2,-4,-4,4,0,0,2,0,3,0,1,0,-4,0
1535,0,1,1982,2,-4,-4,4,0,0,2,0,2,1,3,0,-4,0
1536,0,1,1983,-4,-4,-4,2,0,0,5,-5,-5,-5,-5,-5,-4,1
1537,0,2,1983,-4,-4,-4,4,0,-2,2,-2,2,0,0,0,1,3
1538,1,1,1980,1,-4,-4,2,-5,-5,-5,-5,1,0,1,0,-4,0
1539,1,2,1983,2,1,-4,4,1,-5,-5,-5,2,0,3,0,1,3
1540,1,2,1984,-2,0,-4,4,0,0,4,0,4,0,1,1,-4,0
1541,0,2,1984,2,0,-4,4,0,0,6,-2,8,0,3,1,-4,0
1542,1,2,1983,18,0,-4,2,0,0,5,0,-5,-5,-5,-5,-4,1
1543,1,2,1982,12,-4,-4,4,0,0,2,0,6,1,3,0,-4,1
1544,1,2,1984,12,1,-4,4,0,0,2,0,5,2,2,2,-4,1
1545,1,1,1982,3,-4,-4,4,0,0,4,0,-5,-5,-5,-5,-4,0
1546,1,2,1983,3,0,-4,4,0,0,3,0,3,-2,-2,-2,-4,0
1547,1,1,1981,1,-4,-4,2,0,-5,-5,0,-5,-5,-5,-5,-4,0
1548,1,1,1983,1,-4,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1549,1,1,1984,1,-4,0,2,0,0,2,0,8,0,1,0,-4,1
1550,0,2,1982,3,-4,-4,4,0,0,6,0,5,0,0,0,-4,1
1551,0,2,1980,2,-4,-4,4,0,0,4,1,7,0,0,1,1,3
1552,1,1,1984,2,-4,1,4,0,-5,2,0,3,1,1,1,-4,1
1553,0,1,1980,2,-4,-4,1,0,0,2,0,4,0,0,0,-4,0
1554,0,1,1983,2,-4,0,1,0,0,1,0,5,0,0,0,-4,0
1555,0,1,1980,2,-4,-4,1,-5,-5,-5,0,1,3,0,2,-4,0
1556,1,1,1983,2,-4,0,1,0,0,4,0,6,0,0,0,-4,0
1557,1,2,1984,2,0,-4,1,0,0,7,0,5,0,0,0,-4,0
1558,0,1,1982,12,-4,-4,1,1,0,5,0,4,0,0,0,-4,1
1559,1,1,1982,2,-4,-4,4,0,0,5,0,3,0,1,0,-4,1
1560,0,1,1984,1,-4,1,2,0,0,5,0,3,1,3,1,1,3
1561,1,1,1984,1,-4,0,2,0,0,2,0,3,0,0,0,-4,0
1562,0,1,1984,1,-4,0,2,0,-2,7,0,2,0,1,1,-4,0
1563,0,1,1983,2,-4,0,1,-5,1,2,0,3,0,0,0,-4,0
1564,0,1,1983,2,-4,0,1,0,0,1,0,3,0,1,1,1,3
1565,0,2,1984,2,0,-4,1,0,0,1,0,6,0,2,0,-4,0
1566,0,2,1982,3,-4,-4,1,0,0,4,-5,-5,-5,-5,-5,-4,0
1568,0,2,1982,2,-4,-4,1,0,1,7,1,6,3,1,3,-4,1
1569,1,1,1981,1,-4,-4,2,0,0,4,0,-5,-5,-5,-5,-4,0
1570,1,1,1981,1,-4,-4,2,0,0,3,0,3,0,1,0,-4,1
1571,1,2,1982,1,-4,-4,2,0,0,1,0,3,0,0,0,1,3
1572,1,1,1982,18,-4,-4,4,0,0,1,0,8,0,0,0,1,3
1573,0,1,1981,2,-4,-4,4,0,0,2,0,3,0,3,0,-4,1
1574,0,2,1983,2,1,-4,4,0,0,1,0,5,0,0,0,-4,1
1575,1,2,1981,2,-4,-4,4,-5,0,3,0,4,0,0,1,-4,1
1576,1,2,1980,1,-4,-4,4,0,1,5,1,2,0,1,0,1,3
1577,1,2,1984,1,0,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1578,1,1,1981,1,-4,-4,4,0,0,5,0,3,0,0,0,-4,0
1579,1,1,1983,-4,-4,-4,1,0,-5,6,0,3,0,0,0,-4,0
1580,0,1,1980,2,-4,-4,1,0,0,5,0,2,0,0,0,-4,0
1581,1,1,1980,2,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1582,0,2,1980,3,-4,-4,4,0,0,4,0,3,0,2,0,1,3
1583,0,1,1981,-4,-4,-4,2,0,0,5,0,2,0,3,1,-4,1
1584,0,2,1982,-4,-4,-4,2,1,0,6,0,3,0,0,0,1,1
1585,0,2,1984,-4,-4,-4,2,0,0,5,0,4,1,1,1,-4,1
1586,1,1,1983,1,-4,0,2,1,0,4,0,4,0,0,0,-4,1
1587,0,2,1982,2,-4,-4,4,0,0,2,0,3,0,0,0,1,3
1588,0,2,1984,2,0,-4,4,0,0,2,0,3,0,2,0,-4,0
1589,0,1,1981,1,-4,-4,2,0,0,4,0,3,0,0,0,-4,0
1590,1,2,1983,-4,-4,-4,4,0,0,6,-5,-5,-5,-5,-5,-4,1
1591,0,1,1982,-4,-4,-4,4,-5,-5,-5,-5,3,0,0,0,-4,0
1592,1,2,1981,27,-4,-4,4,0,0,5,1,6,1,0,0,-4,1
1593,1,2,1983,-4,-4,-4,4,1,0,-5,-5,-5,-5,-5,-5,-4,1
1594,1,2,1980,1,-4,-4,1,0,0,7,0,-2,0,0,1,-4,-3
1595,1,2,1982,1,-4,-4,1,0,0,3,0,5,1,1,1,-4,0
1596,1,1,1983,1,-4,0,2,0,-5,-5,-5,-5,-5,-5,-5,-4,0
1597,0,1,1982,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1598,1,2,1980,1,-4,-4,2,0,0,7,-5,-5,-5,-5,-5,-4,0
1599,1,2,1981,1,-4,-4,2,0,0,-5,-5,-5,-5,-5,-5,-4,1
1600,0,2,1982,-4,-4,-4,2,0,1,4,0,2,0,0,0,-4,1
1601,0,2,1982,1,0,-4,2,0,0,5,0,3,0,2,0,-4,0
1602,0,2,1984,1,0,-4,2,0,0,2,1,4,0,0,0,-4,0
1603,0,2,1980,-4,-4,-4,2,-5,0,2,-5,-5,-5,-5,-5,-4,0
1604,1,2,1980,-4,-4,-4,4,0,0,5,0,5,0,3,0,-4,1
1605,1,2,1982,-4,-4,-4,4,0,0,1,0,5,0,0,0,-4,1
1606,0,2,1982,1,-4,-4,2,0,1,5,0,3,0,0,0,-4,0
1607,0,1,1983,1,-4,0,2,0,-5,4,0,1,0,0,0,1,1
1608,0,2,1980,-4,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1609,0,1,1983,-4,-4,-4,4,0,-5,3,0,1,0,3,3,-4,0
1610,1,2,1982,1,-4,-4,4,1,-5,7,-5,-5,-5,-5,-5,-4,0
1611,1,2,1982,1,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1612,1,2,1982,1,-4,-4,4,0,0,7,0,3,0,0,0,-4,0
1613,1,1,1983,-4,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1614,0,2,1980,15,-4,-4,4,0,0,5,0,6,0,0,0,-4,1
1615,1,1,1983,11,-4,1,2,0,0,7,0,3,1,1,1,-4,0
1616,1,2,1982,1,-4,-4,4,-5,-5,7,-5,-5,-5,-5,-5,-4,0
1617,1,1,1983,1,-4,0,4,0,0,5,0,5,0,1,0,-4,1
1618,0,1,1980,13,-4,-4,4,0,0,5,0,3,3,3,3,-4,0
1619,1,1,1981,3,-4,-4,4,0,0,-5,-5,-5,-5,-5,-5,-4,0
1620,1,1,1984,3,-4,0,4,0,0,4,0,6,0,0,0,-4,1
1621,1,1,1981,13,-4,-4,4,-5,1,-5,-5,-5,-5,-5,-5,-4,0
1622,0,2,1984,6,1,-4,3,0,0,2,1,-5,-5,-5,-5,-4,0
1623,1,1,1983,9,-4,0,4,0,0,1,0,6,0,0,0,-4,1
1624,1,2,1984,1,0,-4,4,0,0,5,0,-5,-5,-5,-5,-4,1
1625,0,1,1982,1,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1626,0,1,1984,1,-4,0,2,-5,-5,5,-5,3,0,0,0,-4,0
1627,0,1,1982,22,-4,-4,4,0,-2,3,0,3,0,0,0,-4,0
1628,0,1,1983,22,-4,0,4,0,0,3,0,4,0,1,0,-4,0
1629,0,2,1982,16,-4,-4,4,0,0,5,0,8,1,1,1,-4,0
1630,1,2,1981,2,-4,-4,4,0,0,3,0,-5,-5,-5,-5,-4,0
1631,1,1,1981,13,-4,-4,4,0,-5,-5,0,3,0,0,0,-4,0
1632,1,1,1984,1,-4,0,4,0,0,6,0,5,0,3,0,-4,0
1633,1,2,1980,1,-4,-4,4,0,0,5,0,6,0,1,0,-4,0
1634,1,2,1984,1,0,-4,4,0,0,2,0,5,0,1,0,-4,0
1635,0,1,1980,1,-4,-4,4,-5,-5,-5,0,5,0,0,0,-4,1
1636,1,1,1981,1,-4,-4,4,0,0,-5,-5,-5,-5,-5,-5,-4,0
1637,0,1,1983,2,-4,1,4,0,0,2,-5,-5,-5,-5,-5,-4,0
1638,1,1,1980,1,-4,-4,4,-5,-5,-5,-5,3,0,0,0,1,1
1639,1,2,1984,1,0,-4,4,0,0,2,0,6,0,0,1,-4,1
1640,0,1,1982,1,-4,-4,4,0,0,2,-5,-5,-5,-5,-5,-4,1
1641,0,2,1983,1,0,-4,4,0,0,7,1,-5,-5,-5,-5,-4,1
1642,1,2,1983,15,1,-4,4,0,0,4,0,5,0,1,0,-4,0
1643,0,1,1981,1,-4,-4,4,-5,-5,-5,-5,5,1,1,0,-4,0
1644,1,2,1981,1,-4,-4,4,0,0,4,0,5,0,1,0,-4,1
1645,1,1,1981,1,-4,-4,4,0,0,1,0,5,0,0,0,-4,1
1646,0,1,1982,1,-4,-4,4,0,1,2,0,3,0,0,0,-4,1
1647,1,2,1982,1,0,-4,4,0,0,1,0,8,0,0,0,-4,1
1648,0,1,1981,3,-4,-4,4,1,0,5,0,2,2,0,2,-4,0
1649,1,1,1981,1,-4,-4,4,0,1,2,0,6,0,0,0,-4,1
1650,1,1,1982,-4,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1651,1,2,1982,1,-4,-4,4,0,-5,-5,1,-5,-5,-5,-5,-4,1
1652,1,1,1981,1,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1653,1,1,1983,1,-4,0,4,0,0,5,-5,-5,-5,-5,-5,1,3
1654,1,1,1980,1,-4,-4,4,0,0,3,0,5,0,2,2,-4,1
1655,0,1,1982,12,-4,-4,4,0,0,2,0,5,0,0,0,-4,0
1656,1,1,1984,21,-4,0,4,0,0,4,0,6,0,0,0,-4,1
1657,0,2,1983,-4,-4,-4,1,0,0,5,0,2,0,0,0,-4,0
1658,0,2,1982,12,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,1
1659,1,1,1982,3,-4,-4,2,0,0,6,0,3,0,0,0,1,1
1660,1,2,1981,5,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1661,1,1,1980,1,-4,-4,2,0,0,2,0,5,0,1,0,-4,1
1662,1,1,1981,2,-4,-4,4,0,1,5,0,1,3,0,3,-4,0
1663,1,2,1984,2,0,-4,2,0,0,5,0,1,0,0,0,-4,1
1664,0,1,1983,-4,-4,-4,4,0,0,7,0,2,0,0,0,-4,0
1665,0,1,1981,2,-4,-4,4,0,0,4,0,-5,-5,-5,-5,-4,0
1666,1,1,1981,25,-4,-4,4,0,0,2,0,4,-1,-1,-1,1,3
1667,0,1,1984,-4,-4,-4,4,0,0,3,0,3,3,3,3,-4,0
1668,0,1,1984,2,-4,1,4,0,0,2,0,-5,-5,-5,-5,-4,1
1669,1,2,1981,3,-4,-4,4,0,0,3,0,5,0,1,0,-4,1
1670,1,2,1980,18,-4,-4,4,0,0,5,0,5,0,1,0,-4,1
1671,1,2,1982,18,-4,-4,4,0,0,5,0,5,0,0,1,-4,1
1672,1,2,1983,18,0,-4,4,0,0,4,0,5,0,0,0,-4,1
1673,0,2,1982,1,-4,-4,4,0,0,1,0,4,0,0,0,1,1
1674,0,2,1981,-4,-4,-4,4,1,-5,4,0,5,0,0,0,-4,0
1675,0,1,1984,-4,-4,-4,4,0,0,2,0,4,0,0,0,-4,1
1676,1,1,1980,2,-4,-4,4,0,0,4,0,3,0,3,0,-4,1
1677,1,2,1982,2,-4,-4,4,0,1,-5,-5,-5,-5,-5,-5,-4,1
1678,1,1,1983,-4,-4,-4,4,0,0,2,0,5,0,0,0,-4,0
1679,0,2,1982,1,-4,-4,4,0,0,2,0,3,0,1,0,-4,1
1680,1,2,1982,13,-4,-4,4,0,0,3,0,5,0,1,0,-4,0
1681,0,1,1981,3,-4,-4,4,-5,-5,-5,-5,5,0,1,0,-4,0
1682,1,2,1980,5,-4,-4,4,0,0,1,0,5,0,0,0,-4,1
1683,1,1,1980,6,-4,-4,2,0,0,5,0,4,0,2,0,3,3
1684,1,2,1981,6,-4,-4,2,0,0,5,0,3,3,3,3,1,3
1685,1,1,1980,-4,-4,-4,3,0,0,5,0,3,0,3,2,1,3
1686,1,2,1982,3,-4,-4,4,0,0,5,0,6,0,0,0,-4,1
1687,1,1,1980,3,-4,-4,4,0,0,4,0,5,0,0,0,-4,1
1688,1,1,1983,3,-4,1,4,0,0,5,0,3,1,0,1,1,3
1689,1,2,1984,13,0,-4,4,0,0,2,0,1,0,1,0,1,3
1690,0,2,1983,4,0,-4,4,0,0,1,0,2,0,0,0,-4,0
1691,0,2,1983,4,0,-4,4,0,0,4,0,1,0,1,0,1,3
1692,1,1,1981,2,-4,-4,4,0,0,2,0,-5,-5,-5,-5,-4,1
1693,0,1,1984,2,-4,0,4,0,0,2,-5,-5,-5,-5,-5,-4,0
1694,1,1,1982,5,-4,-4,4,-5,0,5,0,5,0,0,0,-4,1
1695,1,1,1984,5,-4,0,4,-5,0,4,0,-5,-5,-5,-5,-4,1
1696,1,1,1983,2,-4,0,4,0,0,1,-5,2,0,1,0,-4,0
1697,1,2,1984,2,1,-4,4,-5,0,2,0,5,0,0,0,-4,1
1698,1,2,1980,3,-4,-4,4,0,-5,-5,0,5,0,0,0,-4,1
1699,1,1,1982,3,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1700,0,1,1982,-4,-4,-4,4,0,0,1,-5,-5,-5,-5,-5,-4,0
1701,0,1,1984,-4,-4,-4,4,0,0,1,0,3,0,0,0,-4,0
1702,1,1,1982,2,-4,-4,4,0,-5,-5,-5,3,0,0,0,-4,0
1703,1,2,1980,2,-4,-4,4,0,-5,-5,0,6,0,1,0,-4,1
1704,1,1,1982,2,-4,-4,4,0,0,2,0,5,0,0,0,-4,1
1705,0,2,1981,2,-4,-4,4,0,0,7,0,1,3,3,3,1,3
1706,0,2,1984,2,0,-4,4,0,1,6,0,2,0,3,0,-4,2
1707,1,1,1980,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1708,0,1,1982,27,-4,0,4,-2,0,6,0,1,0,3,0,-4,0
1709,0,2,1980,1,0,-4,4,0,0,-5,-5,-5,-5,-5,-5,-4,0
1710,0,1,1983,1,-4,0,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
1711,0,1,1980,-4,-4,-4,4,1,0,3,0,3,1,0,1,-4,1
1712,1,2,1983,-4,-4,-4,4,1,-5,-5,0,5,0,1,0,-4,0
1713,1,2,1984,1,0,-4,4,0,0,2,0,5,2,2,2,-4,1
1714,0,1,1983,1,-4,0,2,0,1,5,0,1,0,0,0,-4,0
1715,0,1,1981,2,-4,-4,4,0,0,3,-5,4,0,0,0,1,1
1716,0,2,1982,2,-4,-4,4,-5,0,1,0,3,0,0,0,-4,1
1717,0,2,1984,2,2,-4,4,0,-5,2,-5,3,0,1,0,1,3
1718,0,2,1981,1,-4,-4,2,0,0,6,0,-5,-5,-5,-5,1,1
1719,0,2,1983,1,0,-4,2,0,0,1,0,1,2,3,2,-4,1
1720,0,1,1981,18,-4,-4,4,0,0,2,0,3,0,0,0,-4,0
1721,0,1,1980,1,-4,-4,2,0,0,3,0,3,0,0,0,-4,2
1722,1,1,1981,1,-4,-4,2,1,0,6,0,-5,-5,-5,-5,-4,0
1723,0,2,1981,-4,-4,-4,2,0,0,4,0,1,0,0,0,-4,0
1724,0,1,1981,1,-4,-4,2,0,-5,-5,-5,-5,-5,-5,-5,-4,0
1725,1,1,1980,1,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,1
1726,1,1,1982,1,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1727,0,1,1982,3,-4,-4,2,0,0,4,0,2,0,1,0,-4,0
1728,0,2,1983,1,0,-4,2,0,0,5,0,1,0,0,0,-4,1
1729,0,1,1984,1,-4,0,2,0,0,3,-5,-5,-5,-5,-5,-4,0
1730,0,2,1981,2,-4,-4,4,0,0,1,0,3,0,0,0,1,3
1731,0,2,1980,3,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1732,0,1,1984,-4,-4,-4,4,0,0,5,0,1,0,0,1,-4,0
1733,1,2,1981,11,-4,-4,4,0,0,3,0,2,0,0,0,-4,1
1734,0,1,1983,-4,-4,-4,4,0,0,3,0,-5,-5,-5,-5,-4,0
1735,0,1,1980,3,-4,-4,4,0,0,1,0,3,0,1,0,1,1
1736,0,2,1983,3,0,-4,4,0,0,-5,-5,-5,-5,-5,-5,1,3
1737,0,1,1981,2,-4,-4,4,-5,-5,-5,-5,4,0,1,0,-4,1
1738,0,1,1981,2,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1739,1,2,1982,3,-4,-4,4,0,0,6,0,3,3,3,0,-4,2
1740,0,1,1983,3,-4,0,4,0,-5,5,1,2,1,3,0,1,1
1741,0,1,1984,3,-4,1,4,0,0,4,1,-5,-5,-5,-5,-4,1
1742,1,2,1982,1,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1743,1,2,1982,1,-4,-4,4,-5,0,1,-5,6,0,0,0,-4,0
1744,1,1,1983,11,-4,0,4,0,0,5,0,3,1,1,1,1,1
1745,0,2,1984,-4,-4,-4,4,0,0,4,0,4,0,1,1,1,3
1746,1,1,1982,4,-4,-4,4,0,0,3,0,4,0,3,0,-4,1
1747,1,2,1982,1,1,-4,4,0,0,5,0,1,0,0,0,1,3
1748,0,1,1982,1,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
1749,0,2,1982,-4,-4,-4,4,1,-5,-5,0,5,1,3,1,-4,1
1750,0,2,1981,27,-4,-4,4,-5,-5,-5,0,4,2,3,0,1,3
1751,0,2,1981,27,-4,-4,4,-5,-5,-5,-5,4,0,1,0,-4,1
1752,1,2,1983,27,0,-4,4,0,0,6,0,5,0,0,0,-4,1
1753,0,1,1980,1,-4,-4,4,0,0,5,0,4,0,0,0,-4,1
1754,1,2,1981,26,-4,-4,4,0,0,6,0,2,2,2,2,-4,2
1755,1,1,1980,7,-4,-4,4,0,0,2,0,5,0,1,0,-4,1
1756,1,2,1980,1,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
1757,1,1,1983,1,-4,0,4,0,0,1,0,6,0,0,0,-4,1
1758,0,1,1981,1,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
1759,0,1,1983,1,-4,1,4,-5,0,5,0,-5,-5,-5,-5,-4,1
1760,0,2,1980,2,-4,-4,1,0,1,3,0,2,1,1,1,-4,0
1761,0,2,1981,-4,-4,-4,1,1,1,3,-5,1,0,0,0,-4,0
