"R0000100","R0532200","R0536300","R0536402","R0552200","R0690800","R0691200","R1482600","S1249300","T1067500","T3162503","T9110400","U3572700","U4370902","U4370904","U4370905","Z9073400","Z9149100"
76,0,1,1982,-4,-4,-4,4,0,0,4,-5,3,0,0,0,-4,1
77,1,2,1984,1,0,-4,2,0,-5,5,-5,-5,-5,-5,-5,-4,1
78,0,2,1981,2,-4,-4,4,0,0,6,0,4,0,1,0,-4,0
79,0,1,1983,1,-4,0,2,0,1,2,0,2,0,0,0,-4,0
80,0,1,1981,2,-4,-4,1,0,0,3,0,-5,-5,-5,-5,-4,0
81,0,2,1984,3,1,-4,1,0,0,7,0,1,0,0,0,-4,0
82,0,1,1984,1,-4,0,2,0,0,4,0,5,0,0,0,-4,1
83,0,1,1981,1,-4,-4,2,0,0,1,0,-5,-5,-5,-5,-4,0
84,0,2,1984,1,1,-4,2,0,0,4,0,5,0,0,0,1,3
85,0,1,1984,13,-4,0,4,0,0,5,0,3,0,0,0,-4,1
86,1,2,1980,1,-4,-4,4,0,0,1,0,6,0,3,0,-4,1
87,1,1,1984,1,-4,0,2,1,0,5,-5,-5,-5,-5,-5,-4,0
88,1,1,1981,-4,-4,-4,4,0,-5,-5,0,4,0,1,0,-4,0
89,1,1,1981,-4,-4,-4,4,0,0,4,0,6,0,0,0,1,3
90,1,1,1981,1,-4,-4,2,0,0,4,0,5,1,2,1,-4,0
91,1,2,1982,1,-4,-4,2,0,0,5,0,5,0,3,0,-4,0
92,1,1,1983,21,-4,0,4,0,0,1,0,3,0,0,0,-4,0
93,1,1,1983,1,-4,2,2,0,0,3,-5,4,0,0,0,-4,1
94,0,2,1980,2,-4,-4,1,0,0,3,0,4,0,0,0,-4,1
95,1,1,1982,1,-4,-4,2,-5,0,-5,-5,-5,-5,-5,-5,-4,0
96,1,1,1982,1,-4,-4,4,-5,-5,3,-5,-5,-5,-5,-5,-4,0
97,1,1,1980,1,-4,-4,2,0,0,3,0,5,0,2,0,1,3
98,1,1,1980,-4,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
99,0,1,1982,1,-4,-4,2,0,-5,-5,-5,-5,-5,-5,-5,-4,0
100,0,2,1981,1,-4,-4,1,0,0,5,0,2,0,0,1,-4,0
101,0,2,1981,2,-4,-4,1,0,0,7,0,-5,-5,-5,-5,-4,0
102,1,2,1982,1,-4,-4,2,0,0,-5,-5,5,0,1,0,-4,0
103,1,2,1983,1,0,-4,2,0,-5,-5,-5,-5,-5,-5,-5,-4,0
104,1,2,1980,1,-4,-4,4,0,0,5,0,5,1,3,1,-4,1
105,1,1,1983,1,-4,0,4,0,0,1,0,3,0,0,0,-4,1
106,1,1,1981,1,-4,-4,4,-5,-5,-1,-5,-5,-5,-5,-5,-4,0
107,1,2,1982,1,-4,-4,4,0,0,4,0,6,0,1,0,-4,1
108,1,1,1984,1,-4,1,4,0,0,2,0,5,0,1,1,-4,1
109,1,2,1982,1,-4,-4,4,0,0,5,0,5,0,0,0,-4,1
110,1,2,1984,1,1,-4,4,0,0,5,0,6,0,0,0,-4,1
111,0,2,1981,1,-4,-4,4,0,0,7,0,5,2,3,1,1,3
112,1,2,1984,-4,-4,-4,4,0,-5,-5,-5,6,0,0,0,-4,0
113,0,1,1984,1,-4,1,4,0,0,2,0,5,0,1,0,-4,0
114,1,2,1982,1,-4,-4,4,0,0,7,0,5,0,2,1,-4,1
115,1,2,1984,1,1,-4,2,0,-5,7,-5,2,0,1,0,-4,0
116,0,1,1984,11,-4,0,1,0,1,3,0,3,0,1,0,-4,0
117,0,1,1984,11,-4,0,1,0,0,5,0,3,0,0,0,-4,0
118,1,1,1980,6,-4,-4,4,0,0,1,-5,-5,-5,-5,-5,-4,0
119,1,1,1982,1,-4,-4,4,-5,0,-5,0,5,0,1,0,-4,1
120,0,1,1982,-4,-4,-4,4,-5,-5,-5,0,-5,-5,-5,-5,-4,0
121,1,1,1981,1,-4,-4,4,0,-5,2,0,-5,-5,-5,-5,-4,1
122,1,1,1984,1,-4,0,4,0,0,1,0,4,0,1,0,-4,1
123,1,1,1980,-4,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
124,1,1,1982,-4,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4
125,1,2,1984,1,0,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
126,0,1,1981,-4,-4,-4,4,0,0,2,0,3,0,1,0,-4,0
127,1,2,1982,-4,-4,-4,4,0,0,5,0,6,0,1,0,-4,1
128,0,2,1982,17,-4,-4,4,0,-5,1,0,5,0,3,0,-4,0
129,0,2,1980,-4,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,1,3
130,0,2,1981,-4,-4,-4,4,0,-5,3,-5,5,1,2,0,-4,0
131,1,1,1980,1,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
132,1,1,1983,1,-4,0,4,0,0,1,-5,-5,-5,-5,-5,-4,1
133,1,1,1982,26,-4,0,4,-5,0,1,0,5,0,0,0,-4,1
134,1,1,1984,-4,-4,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
135,0,1,1981,16,-4,-4,4,0,0,3,-5,-5,-5,-5,-5,-4,1
136,1,2,1983,15,0,-4,4,0,0,2,-5,-5,-5,-5,-5,-4,0
137,0,2,1980,1,-4,-4,4,0,0,1,0,3,0,3,0,-4,1
138,1,1,1984,1,-4,0,4,0,0,2,0,4,0,0,0,-4,1
139,1,2,1984,1,0,-4,4,0,-5,-5,-5,-5,-5,-5,-5,-4,0
140,0,1,1983,1,-4,0,2,-5,-5,2,-5,-5,-5,-5,-5,-4,0
141,1,2,1980,1,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
142,0,2,1981,1,-4,-4,4,-5,0,-5,0,-5,-5,-5,-5,1,1
143,1,1,1981,2,-4,-4,1,0,-5,3,0,4,0,0,0,-4,1
144,0,1,1982,5,-4,-4,1,0,0,4,0,3,1,1,1,-4,0
145,0,1,1984,5,-4,0,1,0,0,3,0,5,0,0,0,-4,0
146,1,1,1984,2,-4,0,1,0,0,2,0,3,0,0,0,-4,0
147,1,2,1984,1,0,-4,4,0,0,4,0,-5,-5,-5,-5,-4,1
148,0,2,1982,2,-4,-4,1,0,0,4,0,-5,-5,-5,-5,-4,0
149,0,2,1983,2,0,-4,1,0,0,7,0,3,0,0,0,-4,0
150,0,1,1984,2,-4,0,1,0,0,5,0,4,0,0,0,-4,1
151,0,2,1982,2,-4,-4,1,0,0,4,0,3,0,1,0,-4,0
152,1,1,1982,-4,-4,-4,1,-5,0,6,0,-5,-5,-5,-5,-4,0
153,0,2,1980,11,1,-4,1,0,0,7,0,3,3,2,2,-4,0
154,1,1,1980,16,-4,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
155,1,1,1980,22,-4,-4,4,0,0,1,0,5,0,0,0,-4,0
156,1,1,1982,22,-4,-4,4,0,0,2,0,8,0,0,0,-4,1
157,1,2,1982,1,-4,-4,2,0,0,7,0,5,0,1,0,-4,1
158,1,1,1984,1,-4,0,2,0,0,1,0,-5,-5,-5,-5,-4,0
159,1,2,1980,1,-4,-4,2,0,0,5,1,3,0,0,0,1,1
